#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
222618.88+002138.8    0.777 I    336.578704834   0.360803008   20.17   20.26  0.80  0.90  5.47
222335.55+004332.2    0.751 R    335.898132324   0.725624025   20.96   22.07  7.00  0.19  1.13
220901.98+003014.3    0.778 G    332.258270264   0.503996015   19.53   21.54  1.06  1.08  1.23
222618.88+002138.8    0.777 G    336.578704834   0.360803008   20.02   21.86  1.30  0.94  1.34
222906.87+002635.1    0.757 I    337.278625488   0.443103999   20.11   21.01  0.64  0.63  1.25
222618.88+002138.8    0.777 R    336.578704834   0.360803008   20.07   21.01  0.92  0.86  1.75
222220.97+005709.4    0.770 I    335.587402344   0.952630997   20.14   19.55  2.30  5.00  6.23
222906.87+002635.1    0.757 G    337.278625488   0.443103999   19.99     -99  0.30  0.33  1.33
222906.87+002635.1    0.757 R    337.278625488   0.443103999   20.07   21.91  1.24  0.52  1.15
144059.49+015744.2    0.794 I    220.247909546   1.962285042   18.99   20.75  7.00  0.68  1.12
221302.57+003015.9    0.761 R    333.260711670   0.504423022   30.11   21.48  3.86  0.41  1.06
144059.49+015744.2    0.794 G    220.247909546   1.962285042   19.25   22.78  7.00  0.98  1.05
222220.97+005709.4    0.770 G    335.587402344   0.952630997   20.89   20.87  1.71  5.00  2.19
144704.65+440935.9    0.795 I    221.769409180  44.159980774   19.76   20.65  2.61  1.31  1.32
144450.00+005244.0    0.783 I    221.208374023   0.878890991   20.14   21.43  1.02  0.47  1.15
144704.65+440935.9    0.795 G    221.769409180  44.159980774   19.66   22.99  2.01  1.61  1.13
144450.00+005244.0    0.783 G    221.208374023   0.878890991   19.88   23.84  1.62  0.43  1.17
144059.49+015744.2    0.794 R    220.247909546   1.962285042   20.76   19.27  6.44  0.57  1.45
223538.53+002109.8    0.763 I    338.910552978   0.352732003   19.10   21.25  0.86  1.16  3.56
144704.65+440935.9    0.795 R    221.769409180  44.159980774   19.58   21.82  2.03  1.61  1.32
144450.00+005244.0    0.783 R    221.208374023   0.878890991   19.90   22.71  0.88  0.61  1.09
220901.98+003014.3    0.778 R    332.258270264   0.503996015   19.51   21.00  0.74  1.11  1.15
222220.97+005709.4    0.770 R    335.587402344   0.952630997   20.43   20.16  1.94  4.78  3.05
223538.53+002109.8    0.763 G    338.910552978   0.352732003   18.95   22.35  1.46  1.46  2.77
223538.53+002109.8    0.763 R    338.910552978   0.352732003   18.88   22.93  1.09  1.46  1.24
223653.07+000831.9    0.756 I    339.221130371   0.142220005   19.09   21.58  1.48  1.01  1.41
223653.07+000831.9    0.756 G    339.221130371   0.142220005   19.37   22.99  2.08  1.31  1.10
223653.07+000831.9    0.756 R    339.221130371   0.142220005   19.27   21.27  2.08  0.71  2.65
144726.68+005651.4    0.795 I    221.861190796   0.947628975   19.49   21.33  0.41  1.70  1.45
225050.10-010406.7    0.776 I    342.708770752  -1.068544984   19.49   20.75  2.45  0.31  1.46
144726.68+005651.4    0.795 G    221.861190796   0.947628975   19.79   23.22  1.01  2.00  1.05
225050.10-010406.7    0.776 G    342.708770752  -1.068544984   19.59   21.86  3.05  0.28  0.97
151325.61+420016.7    0.781 I    228.356719971  42.004661560   19.14   21.21  2.66  1.25  1.01
225050.10-010406.7    0.776 R    342.708770752  -1.068544984   19.69   21.13  3.05  0.10  1.16
151325.61+420016.7    0.781 G    228.356719971  42.004661560   19.22   22.47  2.06  1.55  0.94
151325.61+420016.7    0.781 R    228.356719971  42.004661560   19.02   21.72  3.12  1.55  1.03
144726.68+005651.4    0.795 R    221.861190796   0.947628975   19.49   22.46  1.01  1.41  1.19
155704.96+423940.2    0.781 I    239.270690918  42.661174774   19.34   21.11  0.30  1.03  4.14
155704.96+423940.2    0.781 G    239.270690918  42.661174774   19.08   23.44  0.90  1.33  0.94
155704.96+423940.2    0.781 R    239.270690918  42.661174774   19.14   22.18  0.30  1.10  1.48
232255.29-005549.1    0.753 I    350.730407715  -0.930324018   21.01   20.23  5.72  1.79  1.13
163357.14+425604.3    0.790 I    248.488098144  42.934555054   20.69   21.12  2.01  0.60  1.16
232255.29-005549.1    0.753 G    350.730407715  -0.930324018   21.34   22.42  6.32  1.50  1.08
163357.14+425604.3    0.790 G    248.488098144  42.934555054   20.92   22.55  2.61  0.48  1.29
233741.31+001743.7    0.762 I    354.422149658   0.295491010   20.50   19.94  0.93  1.27  2.46
232255.29-005549.1    0.753 R    350.730407715  -0.930324018   21.39   21.20  6.32  1.50  1.08
233741.31+001743.7    0.762 G    354.422149658   0.295491010   20.37   21.49  0.87  1.24  1.32
163357.14+425604.3    0.790 R    248.488098144  42.934555054   21.01   21.93  2.61  0.59  1.09
233741.31+001743.7    0.762 R    354.422149658   0.295491010   20.42   20.83  0.86  1.21  2.34
234253.25+000240.0    0.777 I    355.721893310   0.044447999   20.81   21.66  7.00  0.21  1.03
235402.88+001932.1    0.769 I    358.512023926   0.325592011   20.64   19.71  3.83  0.10  1.34
234253.25+000240.0    0.777 G    355.721893310   0.044447999   20.97   23.76  6.94  0.52  1.03
235402.88+001932.1    0.769 G    358.512023926   0.325592011   19.46   23.10  4.43  0.18  0.99
235402.88+001932.1    0.769 R    358.512023926   0.325592011   19.27   22.71  4.43  0.40  0.99
232221.81+010733.4    0.759 I    350.590881348   1.125951052   20.63   20.54  2.62  1.16  1.09
234253.25+000240.0    0.777 R    355.721893310   0.044447999   20.70   22.43  6.67  0.21  1.06
232221.81+010733.4    0.759 G    350.590881348   1.125951052   20.69   23.12  3.03  0.86  1.04
232221.81+010733.4    0.759 R    350.590881348   1.125951052   20.49   21.60  2.61  1.14  1.13
232231.61-001522.9    0.796 I    350.631713867  -0.256366015   18.88   20.08  7.00  0.10  2.38
232231.61-001522.9    0.796 G    350.631713867  -0.256366015   19.49   22.82  6.74  0.40  1.15
232231.61-001522.9    0.796 R    350.631713867  -0.256366015   18.94   21.22  6.99  0.13  1.57
000141.43+002356.3    0.933 I      0.422643989   0.398986995   19.48   22.49  7.00  0.85  1.14
000141.43+002356.3    0.933 G      0.422643989   0.398986995   19.52   23.52  7.00  1.15  1.00
000141.43+002356.3    0.933 R      0.422643989   0.398986995   19.38   23.63  7.00  0.82  1.15
000356.56-010131.6    0.911 I      0.985696018  -1.025447011   19.61   22.49  1.03  0.68  1.01
000348.46-004355.3    0.898 I      0.951932013  -0.732053995   20.14   22.56  0.30  0.76  1.03
000350.75-010359.5    0.916 I      0.961480022  -1.066529989   19.81   21.80  0.42  0.88  1.25
000356.56-010131.6    0.911 G      0.985696018  -1.025447011   19.65   24.32  0.43  0.54  0.93
000350.75-010359.5    0.916 G      0.961480022  -1.066529989   19.84   23.07  1.02  0.81  0.95
000348.46-004355.3    0.898 G      0.951932013  -0.732053995   20.13   24.26  0.30  0.68  0.98
000356.56-010131.6    0.911 R      0.985696018  -1.025447011   19.48   25.94  0.61  0.54  0.96
000350.75-010359.5    0.916 R      0.961480022  -1.066529989   19.79   21.90  1.02  0.62  1.66
000348.46-004355.3    0.898 R      0.951932013  -0.732053995   19.99   23.45  0.30  0.89  1.18
000531.41+001455.9    0.992 I      1.380900025   0.248869002   19.83   21.77  1.56  0.79  1.29
000531.06+000950.9    0.945 I      1.379438043   0.164165005   18.58   21.62  7.00  1.42  1.18
000531.41+001455.9    0.992 G      1.380900025   0.248869002   20.44   23.20  2.16  0.49  0.98
000539.29-010243.8    0.867 I      1.413709045  -1.045519948   19.77   22.29  5.72  0.41  1.07
000531.41+001455.9    0.992 R      1.380900025   0.248869002   19.98   22.62  2.16  0.49  1.17
000531.06+000950.9    0.945 G      1.379438043   0.164165005   18.89     -99  6.89  1.12  2.43
000539.29-010243.8    0.867 G      1.413709045  -1.045519948   19.65   23.91  6.32  0.71  1.03
000531.06+000950.9    0.945 R      1.379438043   0.164165005   18.60   22.36  6.69  1.72  1.30
000539.29-010243.8    0.867 R      1.413709045  -1.045519948   19.59   24.88  5.12  0.71  1.01
000608.04-010700.7    0.949 I      1.533519030  -1.116868973   18.89   21.71  0.30  0.15  1.22
000637.89-001842.4    0.989 I      1.657874942  -0.311782002   19.40   22.08  0.37  1.04  1.21
000608.04-010700.7    0.949 G      1.533519030  -1.116868973   18.92   32.99  0.40  0.34  1.10
000637.89-001842.4    0.989 G      1.657874942  -0.311782002   19.54   21.97  0.97  0.74  4.95
000608.04-010700.7    0.949 R      1.533519030  -1.116868973   18.78   21.96  0.30  0.10  1.64
000637.89-001842.4    0.989 R      1.657874942  -0.311782002   19.02     -99  0.61  0.74  2.24
000754.23-010453.9    0.916 I      1.975972056  -1.081650019   20.00   20.77  2.66  0.24  1.03
000754.23-010453.9    0.916 G      1.975972056  -1.081650019   20.62   21.47  2.52  0.10  1.03
000754.23-010453.9    0.916 R      1.975972056  -1.081650019   20.44   21.48  3.26  0.17  1.01
000933.34+004414.7    0.948 I      2.388920069   0.737433016   20.30   22.08  0.66  1.44  1.48
000933.34+004414.7    0.948 G      2.388920069   0.737433016   20.53   22.82  1.26  1.53  2.67
000933.34+004414.7    0.948 R      2.388920069   0.737433016   20.19   22.83  0.65  1.30  1.26
001022.13-002216.8    0.858 I      2.592215061  -0.371336013   19.66   24.45  7.00  0.74  0.99
001047.99-001830.1    0.893 I      2.699963093  -0.308384001   20.61   24.36  0.72  1.80  1.03
001022.13-002216.8    0.858 G      2.592215061  -0.371336013   19.89   24.07  6.63  0.73  1.37
001047.99-001830.1    0.893 G      2.699963093  -0.308384001   20.74   23.81  1.32  1.50  1.27
001100.87-001532.1    0.892 I      2.753657103  -0.258933008   20.09   20.77  3.59  0.36  1.19
001022.13-002216.8    0.858 R      2.592215061  -0.371336013   19.77   24.42  7.00  1.04  1.18
001047.99-001830.1    0.893 R      2.699963093  -0.308384001   20.46   24.22  1.32  1.50  1.15
001100.87-001532.1    0.892 G      2.753657103  -0.258933008   20.15   21.54  3.01  0.10  1.72
001100.87-001532.1    0.892 R      2.753657103  -0.258933008   19.86   21.86  3.13  0.39  1.26
001114.22+010928.7    0.956 I      2.809264898   1.157999039   20.51   23.23  0.63  1.00  1.87
001250.39+003830.1    0.937 I      3.209978104   0.641699016   19.88   22.71  2.03  0.18  1.00
001250.39+003830.1    0.937 G      3.209978104   0.641699016   19.98   21.78  1.43  0.10  1.09
001114.22+010928.7    0.956 G      2.809264898   1.157999039   20.59   25.76  0.73  0.79  1.34
001250.39+003830.1    0.937 R      3.209978104   0.641699016   19.71   23.42  2.63  0.14  1.21
010400.19-003536.0    0.879 I     16.000818253  -0.593347013   19.78   20.94  0.30  5.00  2.38
001114.22+010928.7    0.956 R      2.809264898   1.157999039   20.44   23.96  1.21  1.13  2.70
010418.71-002517.9    0.808 I     16.077989578  -0.421653002   19.92   20.58  1.02  1.27  1.09
010400.19-003536.0    0.879 G     16.000818253  -0.593347013   19.73   23.20  0.90  4.70  1.44
010418.71-002517.9    0.808 G     16.077989578  -0.421653002   20.78   23.39  0.88  1.57  1.38
010400.19-003536.0    0.879 R     16.000818253  -0.593347013   19.63   24.17  0.90  4.70  1.14
010418.71-002517.9    0.808 R     16.077989578  -0.421653002   20.13   21.72  1.33  1.57  1.64
010529.57-004636.1    0.859 I     16.373210907  -0.776705980   19.88   20.97  1.42  0.95  1.15
010529.57-004636.1    0.859 G     16.373210907  -0.776705980   19.78   23.96  2.02  1.25  1.16
010529.57-004636.1    0.859 R     16.373210907  -0.776705980   19.76   22.47  2.02  0.65  2.66
010851.56+004017.5    0.902 I     17.214853287   0.671552002   19.06   22.54  0.30  0.60  0.92
010813.08+000256.9    0.902 I     17.054515839   0.049153000   20.72   21.71  2.52  0.81  0.97
010851.56+004017.5    0.902 G     17.214853287   0.671552002   19.52   22.68  0.90  0.42  3.25
010851.56+004017.5    0.902 R     17.214853287   0.671552002   19.27   22.60  0.90  0.89  1.77
010813.08+000256.9    0.902 G     17.054515839   0.049153000   20.51   24.34  2.53  1.11  1.11
010947.43+010750.4    0.966 I     17.447643280   1.130686998   18.96   20.82  7.00  0.39  2.19
010813.08+000256.9    0.902 R     17.054515839   0.049153000   20.52   22.62  3.01  1.11  1.15
010947.43+010750.4    0.966 G     17.447643280   1.130686998   19.42   20.09  6.52  0.11  1.54
011047.50-010711.6    0.826 I     17.697952271  -1.119902968   20.15   20.30  4.59  0.60  1.32
010947.43+010750.4    0.966 R     17.447643280   1.130686998   18.85   21.66  6.97  0.11  1.30
011047.50-010711.6    0.826 G     17.697952271  -1.119902968   20.06   23.08  3.99  0.77  1.02
011029.64-002517.2    0.845 I     17.623525620  -0.421461999   20.37   20.38  6.75  1.03  1.10
011035.94+000256.6    0.934 I     17.649787903   0.049065001   19.91   21.82  0.81  0.42  1.03
011047.50-010711.6    0.826 R     17.697952271  -1.119902968   19.99   22.09  3.99  0.88  1.14
011029.64-002517.2    0.845 G     17.623525620  -0.421461999   21.05   22.71  6.41  1.33  1.06
011121.92+011351.4    0.807 I     17.841346741   1.230954051   19.18   21.06  0.30  0.68  2.14
011035.94+000256.6    0.934 G     17.649787903   0.049065001   20.30   21.57  0.30  0.12  1.82
011121.92+011351.4    0.807 G     17.841346741   1.230954051   19.45   20.96  0.32  0.38  1.82
011121.92+011351.4    0.807 R     17.841346741   1.230954051   19.18   22.49  0.30  0.78  1.77
011035.94+000256.6    0.934 R     17.649787903   0.049065001   19.94   22.33  0.38  0.12  1.16
011029.64-002517.2    0.845 R     17.623525620  -0.421461999   20.61   21.76  6.75  1.33  1.35
011250.78+004428.8    0.914 I     18.211605072   0.741337001   20.14   21.55  2.28  0.68  1.02
011250.78+004428.8    0.914 G     18.211605072   0.741337001   19.71   23.28  2.88  0.98  1.07
011248.91+002310.6    0.974 I     18.203806532   0.386278783   21.65   21.78  1.37  0.54  1.01
011250.78+004428.8    0.914 R     18.211605072   0.741337001   19.64   22.82  1.78  0.98  1.20
011301.74-000003.9    0.973 I     18.257253471  -0.001098029   18.08   20.75  6.87  1.43  2.87
011248.91+002310.6    0.974 G     18.203806532   0.386278783   20.72   23.57  1.97  0.84  1.08
011301.74-000003.9    0.973 G     18.257253471  -0.001098029   18.67   24.01  6.87  1.73  1.28
011248.91+002310.6    0.974 R     18.203806532   0.386278783   20.46   22.59  1.97  0.67  1.06
011301.74-000003.9    0.973 R     18.257253471  -0.001098029   18.37   21.86  6.47  1.52  2.52
011417.18-005518.8    0.852 I     18.571615219  -0.921895027   18.47   19.70  7.00  3.93  5.61
011417.18-005518.8    0.852 G     18.571615219  -0.921895027   18.23   22.74  6.40  4.23  1.85
011417.18-005518.8    0.852 R     18.571615219  -0.921895027   18.23   20.87  7.00  3.63  7.05
011539.75-002159.3    0.986 I     18.915662124  -0.366490996   21.14   20.42  7.00  0.10  1.37
011539.75-002159.3    0.986 G     18.915662124  -0.366490996   20.27   21.93  6.62  0.40  1.14
011539.75-002159.3    0.986 R     18.915662124  -0.366490996   19.97   21.84  7.00  0.40  1.27
011908.04-003940.6    0.943 I     19.783523178  -0.661294415   19.61   21.58  0.36  1.17  0.95
011908.04-003940.6    0.943 G     19.783523178  -0.661294415   20.06   22.89  0.59  1.10  1.08
011935.29-002033.5    0.858 I     19.897050857  -0.342664003   21.21   20.45  0.30  0.45  1.44
011908.04-003940.6    0.943 R     19.783523178  -0.661294415   19.90   21.85  0.96  1.08  1.19
011935.29-002033.5    0.858 G     19.897050857  -0.342664003   20.69   23.54  0.30  0.45  0.97
011935.29-002033.5    0.858 R     19.897050857  -0.342664003   20.64   22.41  0.30  0.49  1.14
012139.16-000024.0    0.807 I     20.413179398  -0.006678000   19.75   21.12  1.18  0.89  1.05
012139.16-000024.0    0.807 G     20.413179398  -0.006678000   19.75   22.51  1.78  1.19  1.07
012239.09+000529.9    0.908 I     20.662906647   0.091646999   18.86   23.64  6.99  0.63  0.72
012139.16-000024.0    0.807 R     20.413179398  -0.006678000   19.69   21.87  1.78  1.19  1.33
012239.09+000529.9    0.908 G     20.662906647   0.091646999   18.89   22.92  6.55  0.37  1.76
012239.09+000529.9    0.908 R     20.662906647   0.091646999   19.00   20.38  6.70  0.61  1.41
012849.31-001617.3    0.853 I     22.205488205  -0.271497995   18.37   22.33  1.51  5.00  0.95
012849.31-001617.3    0.853 G     22.205488205  -0.271497995   18.38     -99  2.11  4.70 17.29
012958.02+011107.7    0.880 I     22.491767883   1.185490012   19.29   21.89  2.16  0.41  1.00
012849.31-001617.3    0.853 R     22.205488205  -0.271497995   18.26   23.03  0.91  5.00  1.51
012958.02+011107.7    0.880 G     22.491767883   1.185490012   19.06   24.34  2.76  0.71  1.06
013128.25+003227.6    0.811 I     22.867731094   0.541018009   23.98   18.79  0.30  0.10  1.74
012958.02+011107.7    0.880 R     22.491767883   1.185490012   19.04   22.84  1.56  0.11  1.04
013128.25+003227.6    0.811 G     22.867731094   0.541018009   19.62   22.29  0.90  0.40  1.15
013128.25+003227.6    0.811 R     22.867731094   0.541018009   19.27   21.27  0.90  0.40  1.74
015707.23-002637.7    0.889 I     29.280149460  -0.443812996   20.05   22.58  0.30  1.24  0.94
015707.23-002637.7    0.889 G     29.280149460  -0.443812996   20.07   25.53  0.90  1.54  1.07
015707.23-002637.7    0.889 R     29.280149460  -0.443812996   20.15   25.55  0.90  0.94  1.10
015800.45-003304.6    0.843 I     29.501880646  -0.551297009   22.62   20.29  0.30  0.13  0.96
015800.45-003304.6    0.843 G     29.501880646  -0.551297009   20.24   23.58  0.90  0.43  1.03
015800.45-003304.6    0.843 R     29.501880646  -0.551297009   20.49   22.93  0.90  0.43  1.16
020339.60-010725.2    0.990 I     30.915010452  -1.123682022   19.71   22.09  7.00  4.44  1.04
020339.60-010725.2    0.990 G     30.915010452  -1.123682022   20.02   22.07  6.70  4.74  0.97
020339.60-010725.2    0.990 R     30.915010452  -1.123682022   19.69   23.20  6.40  4.74  1.09
020755.39-010058.8    0.861 I     31.980819702  -1.016358972   20.14   22.15  7.00  4.85  1.07
020755.39-010058.8    0.861 G     31.980819702  -1.016358972   19.77   22.20  6.42  4.76  1.23
020922.52-004641.1    0.980 I     32.343872070  -0.778086007   21.07   21.31  2.38  0.24  0.96
020925.45-004230.9    0.870 I     32.356075287  -0.708590984   22.67   19.73  0.30  0.18  1.53
020925.45-004230.9    0.870 G     32.356075287  -0.708590984   20.23   23.86  0.90  0.48  1.02
020922.52-004641.1    0.980 G     32.343872070  -0.778086007   22.14   21.07  2.98  0.10  1.10
020925.45-004230.9    0.870 R     32.356075287  -0.708590984   19.89   21.46  0.90  0.27  1.31
020755.39-010058.8    0.861 R     31.980819702  -1.016358972   19.73   23.12  6.62  4.77  1.16
020922.52-004641.1    0.980 R     32.343872070  -0.778086007   20.76   21.82  2.98  0.27  1.25
021852.67-010731.6    0.902 I     34.719459534  -1.125457048   19.10   19.79  7.00  0.28  1.18
021852.67-010731.6    0.902 G     34.719459534  -1.125457048   19.15   19.82  6.94  0.58  1.97
021852.67-010731.6    0.902 R     34.719459534  -1.125457048   18.97   19.73  6.74  0.26  1.36
084114.58+022927.7    0.956 I    130.310791016   2.491039038   19.78   21.52  0.30  1.34  1.25
084114.58+022927.7    0.956 G    130.310791016   2.491039038   19.77   22.81  0.80  1.43  1.08
084114.58+022927.7    0.956 R    130.310791016   2.491039038   19.57   22.09  0.90  1.65  1.08
084428.51+014818.7    0.870 I    131.118804932   1.805215001   20.04   21.22  0.30  1.07  2.94
085251.47+024439.5    0.980 I    133.214462280   2.744332075   19.22   21.55  7.00  3.03  1.04
084428.51+014818.7    0.870 G    131.118804932   1.805215001   20.49   23.72  0.90  0.93  1.06
085251.47+024439.5    0.980 G    133.214462280   2.744332075   19.36   22.46  6.92  2.73  2.23
085251.47+024439.5    0.980 R    133.214462280   2.744332075   19.10   23.30  6.40  3.33  1.17
084617.78+023228.9    0.816 I    131.574111939   2.541384935   20.89   21.99  2.10  0.23  1.05
084722.73-003537.4    0.886 I    131.844741821  -0.593729973   18.78   22.00  3.90  0.65  1.61
084428.51+014818.7    0.870 R    131.118804932   1.805215001   20.09   22.18  0.62  1.03  1.10
085345.03-000959.6    0.815 I    133.437637329  -0.166567996   19.30   20.86  1.25  1.06  1.68
085536.11+021308.4    0.803 I    133.900466919   2.219022036   19.89   20.97  0.74  0.70  1.16
084617.78+023228.9    0.816 G    131.574111939   2.541384935   20.66   24.37  2.69  0.53  1.11
085536.11+021308.4    0.803 G    133.900466919   2.219022036   19.80   22.82  1.34  0.47  1.12
085757.39+023622.8    0.829 I    134.489151001   2.606358051   21.05   21.42  4.52  0.14  1.17
085536.11+021308.4    0.803 R    133.900466919   2.219022036   19.82   21.72  1.34  0.68  1.21
085345.03-000959.6    0.815 G    133.437637329  -0.166567996   19.23   22.64  0.81  0.99  1.26
085757.39+023622.8    0.829 G    134.489151001   2.606358051   20.53   23.12  4.03  0.33  1.16
085516.28+013236.3    0.975 I    133.817840576   1.543421984   19.54   20.85  1.24  0.75  4.15
085757.39+023622.8    0.829 R    134.489151001   2.606358051   20.26   34.50  4.24  0.10  1.17
085345.03-000959.6    0.815 R    133.437637329  -0.166567996   19.19   21.59  1.20  1.14  1.16
084617.78+023228.9    0.816 R    131.574111939   2.541384935   20.65   23.07  1.50  0.21  1.00
085834.58-001956.6    0.920 I    134.644104004  -0.332410991   19.24   21.51  7.00  2.39  1.06
084722.73-003537.4    0.886 G    131.844741821  -0.593729973   18.75   33.75  4.08  0.35  1.68
085516.28+013236.3    0.975 G    133.817840576   1.543421984   19.45   23.85  1.83  1.05  1.76
085834.58-001956.6    0.920 G    134.644104004  -0.332410991   19.08     -99  7.00  2.68  1.56
085516.28+013236.3    0.975 R    133.817840576   1.543421984   19.69   20.41  0.73  0.45  2.61
085728.05+005016.7    0.953 I    134.366912842   0.837992012   19.27   20.47  0.30  1.15  1.37
085834.58-001956.6    0.920 R    134.644104004  -0.332410991   19.05   22.74  6.66  2.69  1.04
084722.73-003537.4    0.886 R    131.844741821  -0.593729973   18.66   22.13  4.48  0.95  1.23
085728.05+005016.7    0.953 G    134.366912842   0.837992012   19.35   21.72  0.30  1.02  1.46
090053.93-000726.1    0.889 I    135.224716186  -0.123942003   19.26   21.15  0.30  0.66  5.54
090053.93-000726.1    0.889 G    135.224716186  -0.123942003   19.25   22.77  0.90  0.68  1.92
090056.89+021702.6    0.830 I    135.237075806   2.284056902   19.86   20.50  3.36  1.47  1.24
090056.89+021702.6    0.830 G    135.237075806   2.284056902   20.03   23.04  2.76  1.77  1.12
090053.93-000726.1    0.889 R    135.224716186  -0.123942003   19.08   22.37  0.90  0.84  2.57
090056.89+021702.6    0.830 R    135.237075806   2.284056902   19.90   21.53  3.96  1.54  1.06
090236.92-002326.0    0.828 I    135.653854370  -0.390581012   20.38   21.80  2.16  0.75  1.24
090024.19+024359.4    0.858 I    135.100799561   2.733190060   19.28   20.62  4.70  2.77  1.36
090236.92-002326.0    0.828 G    135.653854370  -0.390581012   20.60   23.51  2.76  0.47  1.13
085728.05+005016.7    0.953 R    134.366912842   0.837992012   19.16   21.05  0.38  1.08  1.32
090236.92-002326.0    0.828 R    135.653854370  -0.390581012   20.45   22.46  2.76  0.45  1.02
090325.41+015906.4    0.829 I    135.855880737   1.985128999   19.47   21.58  5.66  0.96  1.13
090325.41+015906.4    0.829 G    135.855880737   1.985128999   19.52   23.37  6.26  1.26  1.14
090325.41+015906.4    0.829 R    135.855880737   1.985128999   19.39   22.33  6.26  1.26  1.09
090024.19+024359.4    0.858 G    135.100799561   2.733190060   19.22   22.18  5.27  2.75  1.44
090429.59-000416.9    0.845 I    136.123306274  -0.071373999   19.82   20.86  0.48  0.73  1.13
090429.59-000416.9    0.845 G    136.123306274  -0.071373999   19.78   22.67  1.08  0.85  1.13
090516.46+051451.2    0.819 I    136.318603516   5.247579098   18.97   20.73  0.75  1.26  1.71
090429.59-000416.9    0.845 R    136.123306274  -0.071373999   19.74   21.85  0.64  0.69  1.09
090544.29+015006.2    0.860 I    136.434570312   1.835075021   18.93   21.30  0.30  1.22  6.41
090544.29+015006.2    0.860 G    136.434570312   1.835075021   18.97   22.61  0.30  1.06  1.96
090516.46+051451.2    0.819 G    136.318603516   5.247579098   19.10   22.07  1.35  1.56  1.05
090544.29+015006.2    0.860 R    136.434570312   1.835075021   18.90   21.72  0.30  1.13  3.76
090024.19+024359.4    0.858 R    135.100799561   2.733190060   19.04   28.39  4.96  2.82  1.63
090516.46+051451.2    0.819 R    136.318603516   5.247579098   18.96   21.12  1.35  1.27  1.03
090601.08+020408.2    0.800 I    136.504531860   2.068963051   21.55   21.26  3.05  0.60  1.04
090623.81+031745.1    0.950 I    136.599212647   3.295861959   20.20   21.53  2.01  0.77  1.82
090601.08+020408.2    0.800 G    136.504531860   2.068963051   21.03   23.04  3.65  0.90  1.10
090631.23+003926.9    0.888 I    136.630142212   0.657482982   21.62   20.83  3.65  0.84  1.59
090623.81+031745.1    0.950 G    136.599212647   3.295861959   20.09   23.27  2.61  1.07  1.10
090631.23+003926.9    0.888 G    136.630142212   0.657482982   21.46   23.60  3.04  1.14  1.09
090601.08+020408.2    0.800 R    136.504531860   2.068963051   20.99   22.42  3.65  0.90  1.00
090623.81+031745.1    0.950 R    136.599212647   3.295861959   19.89   22.22  2.61  1.07  1.08
090631.23+003926.9    0.888 R    136.630142212   0.657482982   21.39   22.03  4.24  0.84  1.11
090808.63+021615.5    0.925 I    137.035980225   2.270992041   19.69   21.30  0.78  1.23  2.65
090808.63+021615.5    0.925 G    137.035980225   2.270992041   19.63   25.07  0.30  1.53  2.24
090838.56+000228.5    0.863 I    137.160690308   0.041267998   20.02   22.05  1.16  0.46  1.05
090808.63+021615.5    0.925 R    137.035980225   2.270992041   19.46   22.34  1.12  1.53  1.48
090838.56+000228.5    0.863 G    137.160690308   0.041267998   19.86   25.88  1.76  0.76  1.10
090838.56+000228.5    0.863 R    137.160690308   0.041267998   19.79   23.62  1.76  0.39  1.05
090936.76+004444.0    0.856 I    137.403198242   0.745558977   19.68   21.52  5.34  2.96  1.36
090936.76+004444.0    0.856 G    137.403198242   0.745558977   19.85   23.71  4.75  3.26  1.15
091159.93+051442.4    0.917 I    137.999740601   5.245134830   19.05   21.77  7.00  1.22  0.97
090936.76+004444.0    0.856 R    137.403198242   0.745558977   19.65   22.45  4.75  3.26  1.18
091204.61+003718.9    0.961 I    138.019226074   0.621940970   19.53   22.09  1.19  1.04  1.13
091159.93+051442.4    0.917 G    137.999740601   5.245134830   20.31   21.65  7.00  1.52  5.39
091204.61+003718.9    0.961 G    138.019226074   0.621940970   19.60   21.95  1.79  0.74  1.53
091159.93+051442.4    0.917 R    137.999740601   5.245134830   20.08   19.46  7.00  1.52 13.60
091204.61+003718.9    0.961 R    138.019226074   0.621940970   19.33   22.52  1.79  1.34  1.10
090902.25+003735.9    0.999 I    137.259399414   0.626650989   19.79   22.67  3.46  0.74  1.03
091255.97-004009.7    0.829 I    138.233215332  -0.669380009   19.43   21.98  0.47  0.64 212.86
090942.69+032746.6    0.947 I    137.427902222   3.462961912   19.25   22.84  0.56  1.28  2.01
091337.37+044415.7    0.853 I    138.405731201   4.737698078   19.16   21.17  4.80  0.79  1.28
091321.84+021132.2    1.000 I    138.341003418   2.192280054   19.94   22.64  1.65  0.75  1.02
091337.37+044415.7    0.853 G    138.405731201   4.737698078   19.45   23.57  4.20  1.09  1.11
090902.25+003735.9    0.999 G    137.259399414   0.626650989   20.17   23.83  3.15  1.04  1.08
091255.97-004009.7    0.829 G    138.233215332  -0.669380009   19.40   23.53  0.86  0.52 29.95
091337.37+044415.7    0.853 R    138.405731201   4.737698078   19.07   22.26  5.40  1.09  1.20
091321.84+021132.2    1.000 G    138.341003418   2.192280054   20.20     -99  2.25  0.45  1.18
091305.38+032755.8    0.883 I    138.272430420   3.465503931   19.47   21.21  0.56  0.75  1.89
