#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
134826.86-005943.9    0.234 I    207.111953735  -0.995527983   19.62   17.31  2.54  2.13  2.60
135908.00+002731.8    0.257 G    209.783355713   0.458855003   18.86   19.85  1.47  1.56  1.18
141528.24-010514.9    0.380 R    213.867706299  -1.087486982   20.40   19.46  2.24  1.72  1.63
141647.59-012657.4    0.376 I    214.198318481  -1.449283004   18.60   19.63  4.64  3.09  1.37
141007.12-012002.7    0.320 G    212.529693603  -1.334092021   19.47   20.89  2.28  1.12  1.51
141647.59-012657.4    0.376 G    214.198318481  -1.449283004   18.89   21.71  4.04  3.39  1.10
140034.70+004733.4    0.362 G    210.144622803   0.792621017   18.85   20.31  1.88  1.75  1.91
141007.12-012002.7    0.320 R    212.529693603  -1.334092021   19.44   19.86  1.83  1.22  2.54
134826.86-005943.9    0.234 G    207.111953735  -0.995527983   20.90   19.00  3.03  2.43  1.61
141647.59-012657.4    0.376 R    214.198318481  -1.449283004   18.80   20.16  5.23  2.79  1.02
142504.65-022530.2    0.326 I    216.269409180  -2.425076008   18.85   20.04  0.79  0.73  1.15
142504.65-022530.2    0.326 G    216.269409180  -2.425076008   19.17   21.43  1.39  0.54  1.10
142453.67+440007.8    0.385 I    216.223632812  44.002182007   19.65   18.75  1.78  2.36  2.59
142504.65-022530.2    0.326 R    216.269409180  -2.425076008   18.90   20.48  0.90  0.71  1.11
135908.00+002731.8    0.257 R    209.783355713   0.458855003   18.72   18.96  1.45  1.39  1.37
142917.72+013714.5    0.311 I    217.323867798   1.620702982   19.24   18.84  3.60  0.92  3.26
142453.67+440007.8    0.385 G    216.223632812  44.002182007   19.58   20.29  1.21  2.66  2.67
140034.70+004733.4    0.362 R    210.144622803   0.792621017   18.69   18.91  2.84  1.71  3.22
142453.67+440007.8    0.385 R    216.223632812  44.002182007   19.51   19.16  1.67  2.66  5.74
142917.72+013714.5    0.311 G    217.323867798   1.620702982   19.51   20.54  4.20  0.93  1.29
143210.93+425527.3    0.327 I    218.045562744  42.924274445   18.99   19.11  3.49  1.34  1.34
143210.93+425527.3    0.327 G    218.045562744  42.924274445   19.23   20.90  3.43  1.64  1.59
142800.19-001026.9    0.333 I    217.000808716  -0.174150005   19.91   18.66  2.39  1.71  9.21
142917.72+013714.5    0.311 R    217.323867798   1.620702982   19.40   19.36  4.04  0.91  2.14
143210.93+425527.3    0.327 R    218.045562744  42.924274445   19.02   19.67  3.61  1.64  1.90
143101.65-004251.6    0.334 I    217.756881714  -0.714353979   20.19   19.73  7.00  2.03  9.15
144308.59+420727.1    0.317 I    220.785812378  42.124221802   18.48   18.50  2.20  1.04  4.31
134826.86-005943.9    0.234 R    207.111953735  -0.995527983   20.48   17.82  2.49  2.17  1.45
144257.79+444301.5    0.265 I    220.740798950  44.717105866   18.41   17.47  4.09  1.98  1.70
144308.59+420727.1    0.317 G    220.785812378  42.124221802   18.33   20.11  2.21  1.22  1.88
143058.84+003505.3    0.374 I    217.745193481   0.584815979   19.62   18.77  2.44  1.73  7.18
144308.59+420727.1    0.317 R    220.785812378  42.124221802   18.20   19.07  1.63  1.21  3.60
142800.19-001026.9    0.333 G    217.000808716  -0.174150005   19.65   20.41  1.79  1.41  1.91
143101.65-004251.6    0.334 G    217.756881714  -0.714353979   20.30   21.12  7.00  2.31  2.78
144257.79+444301.5    0.265 G    220.740798950  44.717105866   18.55   19.28  3.93  2.28  1.89
143230.98-005228.9    0.362 I    218.129119873  -0.874701977   19.33   18.88  3.41  0.81  2.16
144257.79+444301.5    0.265 R    220.740798950  44.717105866   18.56   18.03  4.68  2.18  1.89
143223.80-014823.1    0.397 I    218.099197388  -1.806439042   19.37   19.77  1.25  0.98  1.57
144749.99+441907.4    0.393 I    221.958328247  44.318733215   19.63   19.18  1.26  1.10  1.51
142800.19-001026.9    0.333 R    217.000808716  -0.174150005   19.67   19.29  1.79  1.45  3.92
144749.99+441907.4    0.393 G    221.958328247  44.318733215   20.04   20.67  1.01  1.19  1.35
144927.24+431644.0    0.339 I    222.363540649  43.278892517   19.47   19.52  1.21  0.69  1.90
143230.98-005228.9    0.362 G    218.129119873  -0.874701977   19.38   20.76  3.61  1.11  1.22
144749.99+441907.4    0.393 R    221.958328247  44.318733215   19.63   19.64  1.01  1.18  2.77
144747.02+005518.0    0.296 I    221.945938110   0.921688974   18.81   18.60  2.39  0.90  3.17
143101.65-004251.6    0.334 R    217.756881714  -0.714353979   20.04   20.19  7.00  1.99  5.31
144740.17+010541.9    0.343 I    221.917404175   1.094998002   18.83   20.00  1.50  1.70  1.67
144927.24+431644.0    0.339 G    222.363540649  43.278892517   20.01   21.04  1.42  0.65  1.03
143058.84+003505.3    0.374 G    217.745193481   0.584815979   20.36   20.50  1.85  1.90  1.92
144927.24+431644.0    0.339 R    222.363540649  43.278892517   19.64   20.01  1.14  0.70  3.24
144747.02+005518.0    0.296 G    221.945938110   0.921688974   19.06   20.05  2.98  0.80  1.10
143223.80-014823.1    0.397 G    218.099197388  -1.806439042   19.50   21.71  1.70  0.89  1.09
143230.98-005228.9    0.362 R    218.129119873  -0.874701977   19.32   19.38  3.83  0.99  1.23
